rank,family_name,family_id,num_languages,num_languages_with_items,num_languages_with_collections,total_items,total_collections,earliest_year,latest_year,year_span,num_languages_with_dates,num_countries,countries_list,avg_items_per_language,avg_collections_per_language,pct_languages_with_dates,num_with_iso_code,num_with_description,num_with_indigenous_name,score_temporal,score_geographic,score_holdings,score_size,score_quality,composite_score
1,Indo-European,2.0,19,9,2,106,6,1964,2019,55,9,28,Argentina; Belize; Bolivia; Brazil; Chile; Colombia; Costa Rica; Ecuador; El Salvador; France; Germany; Guatemala; Honduras; Italy; Mexico; Nicaragua; Panama; Paraguay; Peru; Poland; Russia; Sweden; Switzerland; Ukraine; United Kingdom; United States of America; Uruguay; Venezuela,5.6,0.3,100.0,19,4,13,53.4,100.0,55.8,100.0,68.4,74.8
2,Arawakan,190.0,24,21,19,312,25,1927,2022,95,19,10,Belize; Bolivia; Brazil; Colombia; Guatemala; Guyana; Honduras; Peru; United States of America; Venezuela,13.0,1.0,90.5,24,11,11,92.2,33.3,68.6,88.0,72.6,71.9
3,Chibchan,7.0,11,8,9,426,21,1914,2017,103,8,6,Colombia; Costa Rica; Mexico; Nicaragua; Panama; Venezuela,38.7,1.9,100.0,11,6,7,100.0,18.5,72.3,76.0,81.8,70.6
4,Mayan,195.0,33,33,33,4336,237,1959,2022,63,33,3,Belize; Guatemala; Mexico,131.4,7.2,100.0,33,6,18,61.2,7.4,100.0,97.0,67.3,66.3
5,South American Indigenous Languages,556.0,50,28,47,355,217,1958,2022,64,28,12,Argentina; Bolivia; Brazil; Chile; Colombia; Ecuador; French Guiana; Guyana; Honduras; Peru; Suriname; Venezuela,7.1,4.3,100.0,50,24,18,62.1,40.7,70.1,80.0,79.2,65.6
6,Quechua,212.0,17,15,15,958,40,1959,2021,62,14,5,Argentina; Bolivia; Colombia; Ecuador; Peru,56.4,2.4,93.3,17,3,8,60.2,14.8,82.0,100.0,63.0,63.9
7,Tukanoan,275.0,19,16,16,284,39,1963,2022,59,15,4,Brazil; Colombia; Ecuador; Peru,14.9,2.1,93.8,19,13,6,57.3,11.1,67.5,100.0,83.6,62.6
8,Uto-Aztecan,225.0,49,46,43,2214,108,1958,2022,64,44,3,El Salvador; Mexico; United States of America,45.2,2.2,95.7,49,10,17,62.1,7.4,92.0,81.0,65.6,61.4
9,Chatino,209.0,8,8,8,931,79,1961,2021,60,8,1,Mexico,116.4,9.9,100.0,8,7,8,58.3,0.0,81.6,80.0,95.0,61.1
10,Central American Indigenous Languages,558.0,12,12,12,291,123,1959,2019,60,12,7,Belize; Costa Rica; El Salvador; Guatemala; Honduras; Mexico; Nicaragua,24.2,10.2,100.0,12,4,4,58.3,22.2,67.8,82.0,73.3,60.0
11,Tupian,357.0,20,19,19,69,24,1964,2021,57,18,7,Argentina; Bolivia; Brazil; Colombia; French Guiana; Peru; Venezuela,3.5,1.2,94.7,20,6,6,55.3,22.2,50.7,100.0,68.8,58.8
12,Mixe-Zoque,192.0,21,20,20,793,131,1963,2018,55,20,1,Mexico,37.8,6.2,100.0,21,3,2,53.4,0.0,79.7,97.0,65.7,58.6
13,Cariban,354.0,13,9,10,81,15,1954,2020,66,9,4,Brazil; Colombia; Guyana; Venezuela,6.2,1.2,100.0,13,2,6,64.1,11.1,52.6,88.0,66.2,56.3
14,Totonacan,229.0,12,12,12,274,64,1964,2019,55,12,1,Mexico,22.8,5.3,100.0,12,4,1,53.4,0.0,67.1,82.0,73.3,54.2
15,North American Indigenous Languages,557.0,9,7,8,96,24,1957,2015,58,6,3,El Salvador; Mexico; United States of America,10.7,2.7,85.7,9,3,1,56.3,7.4,54.6,90.0,64.8,54.2
16,Naduhup,402.0,5,4,4,647,8,1973,2022,49,4,2,Brazil; Colombia,129.4,1.6,100.0,5,3,4,47.6,3.7,77.3,50.0,84.0,50.7
17,Matacoan,369.0,6,6,6,191,17,1966,2015,49,6,2,Argentina; Paraguay,31.8,2.8,100.0,6,3,2,47.6,3.7,62.8,60.0,80.0,49.2
18,Guaykuruan,387.0,4,4,4,230,16,1958,2021,63,4,3,Argentina; Brazil; Paraguay,57.5,4.0,100.0,4,1,4,61.2,7.4,65.0,40.0,70.0,48.3
19,Panoan,230.0,10,7,9,173,11,1976,2018,42,7,3,Bolivia; Brazil; Peru,17.3,1.1,100.0,10,2,2,40.8,7.4,61.6,70.0,68.0,48.2
20,Otomanguean,6.0,144,130,90,2345,548,1962,2020,58,126,4,Costa Rica; Mexico; Nicaragua; United States of America,16.3,3.8,96.9,144,41,42,56.3,11.1,92.7,10.0,69.5,47.3
21,Enlhet-Enenlhet,542.0,5,4,3,62,3,1977,2022,45,4,1,Paraguay,12.4,0.6,100.0,5,3,4,43.7,0.0,49.5,50.0,84.0,43.4
22,Misumalpan,365.0,5,5,3,20,7,1964,2021,57,5,3,El Salvador; Honduras; Nicaragua,4.0,1.4,100.0,5,1,2,55.3,7.4,36.4,50.0,68.0,42.8
23,Aymaran,234.0,3,3,2,26,4,1960,2019,59,3,4,Argentina; Bolivia; Chile; Peru,8.7,1.3,100.0,3,1,2,57.3,11.1,39.4,30.0,73.3,41.4
24,Jivaroan,222.0,3,3,3,35,3,1960,2003,43,3,2,Ecuador; Peru,11.7,1.0,100.0,3,2,2,41.7,3.7,42.8,30.0,86.7,38.7
25,Siouan,335.0,13,12,12,14,12,1964,1974,10,12,2,Canada; United States of America,1.1,0.9,100.0,13,2,7,9.7,3.7,32.3,88.0,66.2,37.2
26,Chinantecan,366.0,7,7,7,11,9,1983,2015,32,7,1,Mexico,1.6,1.3,100.0,7,0,0,31.1,0.0,29.7,70.0,60.0,36.7
27,Choco,3.0,3,3,2,61,6,1970,2015,45,3,2,Colombia; Panama,20.3,2.0,100.0,3,0,1,43.7,3.7,49.3,30.0,60.0,36.5
28,Cahuapanan,389.0,2,1,2,114,4,2000,2018,18,1,1,Peru,57.0,2.0,100.0,2,2,1,17.5,0.0,56.7,20.0,100.0,34.7
29,Macro-Jê,355.0,4,4,3,6,3,1975,1993,18,4,1,Brazil,1.5,0.8,100.0,4,4,4,17.5,0.0,23.2,40.0,100.0,32.0
30,Uru-Chipaya,367.0,2,2,2,4,3,1968,2015,47,2,1,Bolivia,2.0,1.5,100.0,2,1,0,45.6,0.0,19.2,20.0,80.0,31.2
31,Tequistlatecan,368.0,1,1,1,10,2,1964,1998,34,1,1,Mexico,10.0,2.0,100.0,1,1,0,33.0,0.0,28.6,10.0,100.0,31.0
32,Niger-Congo,505.0,6,5,0,5,0,2020,2020,0,5,6,Cameroon; Democratic Republic of the Congo; Equatorial Guinea; Gabon; Kenya; Tanzania,0.8,0.0,100.0,6,1,3,0.0,18.5,21.4,60.0,66.7,30.0
33,Araucanian,385.0,1,1,1,49,5,1978,2007,29,1,1,Chile,49.0,5.0,100.0,1,0,0,28.2,0.0,46.7,10.0,60.0,27.4
34,Arawán,362.0,3,2,3,4,3,1987,1993,6,2,2,Brazil; Peru,1.3,1.0,100.0,3,2,1,5.8,3.7,19.2,30.0,86.7,25.0
35,Amuzgo,245.0,1,1,1,9,2,1979,2011,32,1,1,Mexico,9.0,2.0,100.0,1,0,0,31.1,0.0,27.5,10.0,60.0,24.3
36,Chon,390.0,2,2,2,50,2,1966,1976,10,1,1,Argentina,25.0,1.0,50.0,2,1,2,9.7,0.0,46.9,20.0,50.0,23.3
37,Yanomaman,388.0,1,1,1,20,4,1958,1968,10,1,2,Brazil; Venezuela,20.0,4.0,100.0,1,0,0,9.7,3.7,36.4,10.0,60.0,21.4
38,"Creoles, English-Based",574.0,1,1,1,3,1,2017,2021,4,1,1,Colombia,3.0,1.0,100.0,1,1,0,3.9,0.0,16.6,10.0,100.0,21.3
39,Afro-Asiatic,508.0,3,3,0,3,0,2020,2020,0,3,2,Cameroon; Nigeria,1.0,0.0,100.0,3,1,2,0.0,3.7,16.6,30.0,73.3,21.0
40,Miwok-Costanoan,386.0,4,4,4,4,4,1964,1964,0,4,1,United States of America,1.0,1.0,100.0,4,0,0,0.0,0.0,19.2,40.0,60.0,20.8
41,Tacanan,356.0,2,1,2,2,3,2004,2009,5,1,2,Bolivia; Peru,1.0,1.5,100.0,2,1,1,4.9,3.7,13.1,20.0,80.0,20.6
42,Zaparoan,383.0,2,1,2,13,5,2002,2007,5,1,1,Ecuador,6.5,2.5,100.0,2,0,0,4.9,0.0,31.5,20.0,60.0,20.5
43,Mosetenan,401.0,2,2,2,2,4,1995,1995,0,2,1,Bolivia,1.0,2.0,100.0,2,0,0,0.0,0.0,13.1,20.0,60.0,15.6
44,Austronesian,497.0,2,1,0,1,0,2020,2020,0,1,1,Indonesia,0.5,0.0,100.0,2,0,1,0.0,0.0,8.3,20.0,60.0,14.7
45,Algonquian,344.0,1,1,1,1,1,1957,1957,0,1,2,Canada; United States of America,1.0,1.0,100.0,1,0,1,0.0,3.7,8.3,10.0,60.0,13.4
46,Trans-New Guinea,500.0,1,1,0,1,0,2020,2020,0,1,1,Indonesia,1.0,0.0,100.0,1,0,0,0.0,0.0,8.3,10.0,60.0,12.7
47,Barbacoan,578.0,1,1,1,1,1,2009,2009,0,1,1,Ecuador,1.0,1.0,100.0,1,0,1,0.0,0.0,8.3,10.0,60.0,12.7
48,Saliban,384.0,3,0,2,0,2,,,0,0,2,Colombia; Venezuela,0.0,0.7,0.0,3,1,1,0.0,3.7,0.0,30.0,13.3,8.7
49,Quechuan,741.0,1,0,1,0,2,,,0,0,1,Ecuador,0.0,2.0,0.0,1,1,1,0.0,0.0,0.0,10.0,40.0,8.0
50,Iroquoian,501.0,1,0,0,0,0,,,0,0,1,United States of America,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,10.0,40.0,8.0
51,Aymara,215.0,1,0,1,0,1,,,0,0,1,Peru,0.0,1.0,0.0,1,1,1,0.0,0.0,0.0,10.0,40.0,8.0
52,Guajiboan,563.0,2,0,0,0,0,,,0,0,2,Colombia; Venezuela,0.0,0.0,0.0,2,1,0,0.0,3.7,0.0,20.0,20.0,7.7
53,Australian languages,559.0,2,0,0,0,0,,,0,0,1,Australia,0.0,0.0,0.0,2,1,0,0.0,0.0,0.0,20.0,20.0,7.0
54,Yuman-Cochimí,324.0,1,0,0,0,0,,,0,0,1,Mexico,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,10.0,0.0,2.0
